0
"0293_01," B 13 P or C 13 S
"0310_01," B 13 P or C 13 S
"0348_02,"
"0364_02,"
"0374_02,"
"0992_04,"
"1006_03,"
"1011_01,"
"1041_01," C 40 S or below
"1095_01," C 40 S or above
"1685_01,"
"1688_02,"
"1692_01,"
"1709_03,"
"2513_01,"
"2514_01,"
"3034_01," FOUND B 98 P
"3053_01," FOUDN B 99 P
"3411_02,"
"3521_01,"
"3535_01,"
"3598_01," G 590 P or G 579 S
"3599_01," G 590 P or G 579 S
"3712_01,"
"3719_01,"
"3755_01,"
"4637_01,"
"4652_01,"
"4953_01," C 193 S or below
"4974_02," C 193 S or above
"6028_04,"
"6048_01,"
"6060_01,"
"6391_01,"
"6406_01,"
"6612_03,"
"6612_05,"
"7182_01," G 1157 P or below
"7183_01," G 1157 P or above
"7353_03," C 270 S or below
"7368_01," C 270 S or above
"7429_01,"
"7440_01," G 1206 S or below
"7442_02," G 1206 S or above
"7463_01," G 1212 S or below
"7469_01," G 1212 S or above
"7556_03,"
"7942_02," G 1286 P or G 1282 S
"7948_01," G 1286 P or G 1282 S
"7983_01," C 298 S or E 528 S
"7995_01," C 298 S or E 528 S
"9062_02," FOUND (GROUP)
"9070_01," FOUND G 1474 P or above
"9223_01," FOUND F 1785 S
"9223_02," FOUND F 1785 S
